strain_id	selection_tool	sample_type	country	state	phylum	class	order	family	genus	species	sa_primary_test	sa_confirmation_test	sa_confirmed_activity	sa_purity_test	sa_purity_confirmed	bs_primary_test	bs_confirmation_test	bs_confirmed_activity	bs_purity_test	bs_purity_confirmed	sa_ml_disease_ctrl	bs_ml_disease_ctrl
SID00288	genome_similarity	Soil	United States	North Carolina	Firmicutes	Bacilli	Bacillales	Bacillaceae_G	Bacillus_A	Bacillus_A thuringiensis_J	1	1	1	0	0	1.0	0.0	0.0	0.0	0.0		
SID00289	spectrum	Root	United States	North Carolina	Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillus	Bacillus safensis	1	1	1	1	0	1.0	1.0	0.0	0.0	0.0		
SID00290	diversity	Root	United States	Missouri	Proteobacteria	Gammaproteobacteria	Burkholderiales	Burkholderiaceae	Variovorax	Variovorax sp003019815	1	0	0	0	0	1.0	0.0	0.0	0.0	0.0		
SID00291	genome_similarity	Root	United States	North Carolina	Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillus	Bacillus subtilis	1	0	0	0	0	0.0	0.0	0.0	0.0	0.0		
SID00292	diversity	Amphibian	United States	North Carolina	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Enterobacter	Enterobacter kobei	1	0	0	0	0	1.0	0.0	0.0	0.0	0.0		
SID00293	diversity	Insect	United States	Arkansas	Firmicutes	Bacilli	Bacillales	Bacillaceae_G	Bacillus_A	Bacillus_A toyonensis	1	0	0	0	0	1.0	0.0	0.0	0.0	0.0		
SID00294	spectrum	Soil	United States	New York	Proteobacteria	Gammaproteobacteria	Burkholderiales	Burkholderiaceae	Paraburkholderia	Paraburkholderia aspalathi	1	0	0	0	0	1.0	0.0	0.0	0.0	0.0		
SID00295	diversity	Other	United States	Missouri	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Ewingella	gtdb_novel_strain	1	0	0	0	0	0.0	0.0	0.0	0.0	0.0		
SID00296	machine_learning_validation	Root	United States	Louisiana	Firmicutes	Bacilli	Bacillales	Bacillaceae_G	Bacillus_A	Bacillus_A thuringiensis_J	1	0	0	0	0	0.0	0.0	0.0	0.0	0.0	32.4	20.0
SID00297	spectrum	Root	United States	Minnesota	Firmicutes	Bacilli	Bacillales	Bacillaceae_H	Bacillus_C	Bacillus_C megaterium	1	0	0	0	0	1.0	0.0	0.0	0.0	0.0		
SID00298	machine_learning_validation	Root	Uganda	Soroti	Firmicutes	Bacilli	Bacillales	Bacillaceae_G	Bacillus_A	Bacillus_A cereus	1	0	0	0	0	0.0	0.0	0.0	0.0	0.0	31.7	-21.4
SID00299	diversity	Soil	Uganda	Amuria	Actinobacteriota	Actinobacteria	Propionibacteriales	Nocardioidaceae	Nocardioides	gtdb_novel_strain	1	0	0	0	0	1.0	0.0	0.0	0.0	0.0		
SID00300	diversity	Root	United States	Illinois	Proteobacteria	Gammaproteobacteria	Burkholderiales	Burkholderiaceae	Herbaspirillum	Herbaspirillum huttiense	1	0	0	0	0	0.0	0.0	0.0	0.0	0.0		
SID00301	spectrum	Root	United States	Iowa	Actinobacteriota	Actinobacteria	Actinomycetales	Micrococcaceae	Pseudarthrobacter	gtdb_novel_strain	1	0	0	0	0	0.0	0.0	0.0	0.0	0.0		
SID00302	diversity	Root	United States	Iowa	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas_E	Pseudomonas_E trivialis	1	0	0	0	0	0.0	0.0	0.0	0.0	0.0		
SID00303	diversity	Root	United States	North Carolina	Actinobacteriota	Actinobacteria	Actinomycetales	Micrococcaceae	Paenarthrobacter	gtdb_novel_strain	1	0	0	0	0	0.0	0.0	0.0	0.0	0.0		
SID00304	genome_similarity	Root	United States	Illinois	Firmicutes	Bacilli	Bacillales	Bacillaceae_G	Bacillus_A	Bacillus_A thuringiensis_J	1	1	1	1	0	1.0	0.0	0.0	0.0	0.0		
SID00305	diversity	Core	United States	North Carolina	Firmicutes	Bacilli	Bacillales	Bacillaceae_G	Bacillus_AW	gtdb_novel_strain	1	0	0	0	0	0.0	0.0	0.0	0.0	0.0		
SID00306	diversity	Soil	Uganda	Soroti	Firmicutes	Bacilli	Bacillales	Bacillaceae_G	Bacillus_A	Bacillus_A cereus_AW	1	1	0	0	0	1.0	0.0	0.0	0.0	0.0		
SID00307	diversity	Amphibian	United States	North Carolina	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Klebsiella_B	Klebsiella_B aerogenes	1	0	0	0	0	0.0	0.0	0.0	0.0	0.0		
SID00308	diversity	Amphibian	United States	North Carolina	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Enterobacter	Enterobacter asburiae	1	1	0	0	0	0.0	0.0	0.0	0.0	0.0		
SID00309	spectrum	Excrement	United States	North Carolina	Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillus	Bacillus velezensis	1	0	0	0	0	1.0	1.0	1.0	1.0	1.0		
SID00310	diversity	Amphibian	United States	North Carolina	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Klebsiella_B	Klebsiella_B aerogenes	1	0	0	0	0	1.0	1.0	0.0	0.0	0.0		
SID00311	genome_similarity	Core	United States	North Carolina	Firmicutes	Bacilli	Bacillales	Bacillaceae_G	Bacillus_A	Bacillus_A thuringiensis_J	1	0	0	0	0	1.0	0.0	0.0	0.0	0.0		
SID00312	diversity	Root	United States	Illinois	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas_E	Pseudomonas_E sp000316175	1	0	0	0	0	0.0	0.0	0.0	0.0	0.0		
SID00313	spectrum	Soil	Uganda	Amuria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillus	Bacillus subtilis	1	0	0	0	0	1.0	0.0	0.0	0.0	0.0		
SID00314	diversity	Soil	Uganda	Amuria	Firmicutes	Bacilli	Bacillales	Bacillaceae_G	Bacillus_A	Bacillus_A cereus_T	1	0	0	0	0	1.0	0.0	0.0	0.0	0.0		
SID00315	diversity	Core	United States	Indiana	Actinobacteriota	Actinobacteria	Mycobacteriales	Mycobacteriaceae	Rhodococcus	Rhodococcus qingshengii	1	0	0	0	0	0.0	0.0	0.0	0.0	0.0		
SID00316	diversity	Root	United States	Iowa	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas_E	Pseudomonas_E moraviensis	1	0	0	0	0	0.0	0.0	0.0	0.0	0.0		
SID00317	diversity	Root	United States	North Carolina	Actinobacteriota	Actinobacteria	Actinomycetales	Microbacteriaceae	Curtobacterium	gtdb_novel_strain	1	0	0	0	0	0.0	0.0	0.0	0.0	0.0		
SID00318	diversity	Amphibian	United States	North Carolina	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Moraxellaceae	Acinetobacter	Acinetobacter sp000369705	1	0	0	0	0	0.0	0.0	0.0	0.0	0.0		
SID00319	spectrum	Insect	United States	Iowa	Proteobacteria	Gammaproteobacteria	Burkholderiales	Burkholderiaceae	Caballeronia	Caballeronia jiangsuensis	1	0	0	0	0	1.0	0.0	0.0	0.0	0.0		
SID00320	genome_similarity	Root	United States	North Carolina	Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillus	Bacillus safensis	1	0	0	0	0	1.0	0.0	0.0	0.0	0.0		
SID00321	spectrum	Root	United States	North Carolina	Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillus	Bacillus safensis	1	0	0	0	0	1.0	0.0	0.0	0.0	0.0		
SID00322	diversity	Soil	Uganda	Amuria	Firmicutes	Bacilli	Bacillales_A	Planococcaceae	Rummeliibacillus	Rummeliibacillus stabekisii	1	0	0	0	0	0.0	0.0	0.0	0.0	0.0		
SID00323	diversity	Other	United States	North Carolina	Firmicutes	Bacilli	Bacillales	Bacillaceae_G	Bacillus_A	Bacillus_A toyonensis	1	1	0	0	0	1.0	0.0	0.0	0.0	0.0		
SID00324	diversity	Tuber	United States	North Carolina	Actinobacteriota	Actinobacteria	Actinomycetales	Cellulomonadaceae	Cellulosimicrobium	Cellulosimicrobium aquatile	1	0	0	0	0	0.0	0.0	0.0	0.0	0.0		
SID00325	diversity	Amphibian	United States	North Carolina	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Enterobacter	Enterobacter kobei	1	0	0	0	0	1.0	0.0	0.0	0.0	0.0		
SID00326	diversity	Amphibian	United States	North Carolina	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Klebsiella_B	Klebsiella_B aerogenes	1	0	0	0	0	0.0	0.0	0.0	0.0	0.0		
SID00327	diversity	Leaf	United States	Iowa	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Kosakonia	Kosakonia cowanii	1	0	0	0	0	0.0	0.0	0.0	0.0	0.0		
SID00328	machine_learning_validation	Soil	United States	North Carolina	Proteobacteria	Gammaproteobacteria	Xanthomonadales	Xanthomonadaceae	Lysobacter	Lysobacter enzymogenes	1	1	0	0	0	0.0	0.0	0.0	0.0	0.0	100.0	54.3
SID00329	spectrum	Soil	Uganda	Amuria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillus	Bacillus safensis	1	1	1	1	0	1.0	0.0	0.0	0.0	0.0		
SID00330	machine_learning_validation	Soil	United States	California	Firmicutes	Bacilli	Bacillales	Bacillaceae_H	Bacillus_I	Bacillus_I endophyticus	1	0	0	0	0	0.0	0.0	0.0	0.0	0.0	63.8	27.1
SID00331	machine_learning_validation	Soil	United States	North Carolina	Proteobacteria	Gammaproteobacteria	Xanthomonadales	Xanthomonadaceae	Lysobacter	Lysobacter enzymogenes	1	1	1	1	1	0.0	0.0	0.0	0.0	0.0	88.1	22.9
SID00332	diversity	Core	United States	Indiana	Actinobacteriota	Actinobacteria	Actinomycetales	Micrococcaceae	Paenarthrobacter	gtdb_novel_strain	1	0	0	0	0	0.0	0.0	0.0	0.0	0.0		
SID00333	diversity	Amphibian	United States	North Carolina	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas_E	Pseudomonas_E sp000282535	1	0	0	0	0	1.0	0.0	0.0	0.0	0.0		
SID00334	diversity	Root	United States	Illinois	Actinobacteriota	Actinobacteria	Actinomycetales	Micrococcaceae	Pseudarthrobacter	Pseudarthrobacter sp003208335	1	0	0	0	0	0.0	0.0	0.0	0.0	0.0		
SID00335	machine_learning_validation	Soil	United States	North Carolina	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas_E	Pseudomonas_E protegens	1	1	0	0	0	0.0	0.0	0.0	0.0	0.0	76.8	45.0
SID00336	diversity	Core	United States	North Carolina	Actinobacteriota	Actinobacteria	Actinomycetales	Micrococcaceae	Arthrobacter_A	gtdb_novel_strain	1	0	0	0	0	0.0	0.0	0.0	0.0	0.0		
SID00337	spectrum	Soil	United States	North Carolina	Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillus	Bacillus safensis	1	1	0	0	0	1.0	0.0	0.0	0.0	0.0		
SID00338	spectrum	Other	United States	New Mexico	Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillus	Bacillus velezensis	1	0	0	0	0	1.0	0.0	0.0	0.0	0.0		
SID00339	diversity	Root	United States	Missouri	Proteobacteria	Gammaproteobacteria	Burkholderiales	Burkholderiaceae	Variovorax	Variovorax sp003019815	1	0	0	0	0	1.0	0.0	0.0	0.0	0.0		
SID00340	diversity	Core	United States	Indiana	Proteobacteria	Gammaproteobacteria	Burkholderiales	Burkholderiaceae	Variovorax	Variovorax sp003019815	1	0	0	0	0	1.0	0.0	0.0	0.0	0.0		
SID00341	diversity	Root	United States	North Carolina	Proteobacteria	Gammaproteobacteria	Burkholderiales	Burkholderiaceae	Pseudacidovorax	gtdb_novel_strain	1	0	0	0	0	0.0	0.0	0.0	0.0	0.0		
SID00342	genome_similarity	Soil	United States	North Carolina	Firmicutes	Bacilli	Bacillales	Bacillaceae_G	Bacillus_A	Bacillus_A thuringiensis_J	1	0	0	0	0	1.0	0.0	0.0	0.0	0.0		
SID00343	machine_learning_validation	Soil	United States	California	Firmicutes	Bacilli	Bacillales	Bacillaceae_H	Bacillus_I	Bacillus_I endophyticus	1	0	0	0	0	0.0	0.0	0.0	0.0	0.0	19.9	-21.4
SID00344	diversity	Root	United States	North Carolina	Proteobacteria	Gammaproteobacteria	Burkholderiales	Burkholderiaceae	Delftia	Delftia tsuruhatensis	1	0	0	0	0	0.0	0.0	0.0	0.0	0.0		
SID00345	machine_learning_validation	Root	United States	New York	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas_E	Pseudomonas_E protegens	1	1	0	0	0	0.0	0.0	0.0	0.0	0.0	84.5	80.0
SID00346	spectrum	Other	United States	New Mexico	Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillus	Bacillus velezensis	1	0	0	0	0	1.0	0.0	0.0	0.0	0.0		
SID00347	spectrum	Soil	Uganda	Amuria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillus	Bacillus subtilis	1	0	0	0	0	1.0	0.0	0.0	0.0	0.0		
SID00348	machine_learning_validation	Soil	United States	California	Firmicutes	Bacilli	Bacillales	Bacillaceae_H	Bacillus_I	Bacillus_I endophyticus	1	0	0	0	0	0.0	0.0	0.0	0.0	0.0	43.3	2.9
SID00349	diversity	Core	United States	Hawaii	Proteobacteria	Alphaproteobacteria	Rhizobiales	Rhizobiaceae	Agrobacterium	Agrobacterium salinitolerans	1	0	0	0	0	0.0	0.0	0.0	0.0	0.0		
SID00350	spectrum	Other	United States	New Mexico	Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillus	Bacillus velezensis	1	0	0	0	0	1.0	0.0	0.0	0.0	0.0		
SID00351	diversity	Core	United States	Indiana	Proteobacteria	Gammaproteobacteria	Burkholderiales	Burkholderiaceae	Variovorax	Variovorax sp003019815	1	0	0	0	0	0.0	0.0	0.0	0.0	0.0		
SID00352	diversity	Other	United States	North Carolina	Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillus	gtdb_novel_strain	1	0	0	0	0	0.0	0.0	0.0	0.0	0.0		
SID00353	machine_learning_validation	Root	United States	Arkansas	Firmicutes	Bacilli	Bacillales	Bacillaceae_G	Bacillus_A	Bacillus_A thuringiensis_J	1	0	0	0	0	0.0	0.0	0.0	0.0	0.0	51.6	0.0
SID00354	diversity	Root	United States	Missouri	Proteobacteria	Gammaproteobacteria	Burkholderiales	Burkholderiaceae	Variovorax	Variovorax sp003019815	1	0	0	0	0	1.0	0.0	0.0	0.0	0.0		
SID00355	genome_similarity	Grainbin Dust	United States	Iowa	Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillus	Bacillus subtilis	1	0	0	0	0	1.0	1.0	1.0	1.0	1.0		75.0
SID00356	machine_learning_validation	Soil	United States	California	Firmicutes	Bacilli	Bacillales	Bacillaceae_H	Bacillus_I	Bacillus_I endophyticus	1	1	0	0	0	0.0	0.0	0.0	0.0	0.0	71.8	-7.1
SID00357	diversity	Root	United States	North Carolina	Actinobacteriota	Actinobacteria	Actinomycetales	Micrococcaceae	Paenarthrobacter	Paenarthrobacter sp001423565	1	0	0	0	0	0.0	0.0	0.0	0.0	0.0		
SID00358	machine_learning_validation	Insect	United States	North Carolina	Actinobacteriota	Actinobacteria	Streptomycetales	Streptomycetaceae	Streptomyces_C	gtdb_novel_strain	1	0	0	0	0	0.0	0.0	0.0	0.0	0.0	49.4	55.0
SID00359	genome_similarity	Soil	Uganda	Soroti	Firmicutes	Bacilli	Bacillales	Bacillaceae_G	Bacillus_A	Bacillus_A cereus	1	0	0	0	0	1.0	0.0	0.0	0.0	0.0		
SID00360	spectrum	Root	United States	Indiana	Proteobacteria	Gammaproteobacteria	Burkholderiales	Burkholderiaceae	Burkholderia	Burkholderia cepacia	1	0	0	0	0	1.0	0.0	0.0	0.0	0.0		
SID00361	diversity	Amphibian	United States	North Carolina	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Enterobacter	Enterobacter sp000493015	1	0	0	0	0	1.0	0.0	0.0	0.0	0.0		
SID00362	diversity	Root	United States	North Carolina	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas_E	Pseudomonas_E sp002966775	1	0	0	0	0	0.0	0.0	0.0	0.0	0.0		
SID00363	spectrum	Core	United States	North Carolina	Proteobacteria	Gammaproteobacteria	Burkholderiales	Burkholderiaceae	Burkholderia	Burkholderia cepacia	1	0	0	0	0	1.0	0.0	0.0	0.0	0.0		
SID00364	machine_learning_validation	Root	United States	Arkansas	Firmicutes	Bacilli	Bacillales	Bacillaceae_G	Bacillus_A	Bacillus_A thuringiensis_J	1	0	0	0	0	0.0	0.0	0.0	0.0	0.0	15.7	-21.4
SID00365	diversity	Amphibian	United States	North Carolina	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas_F	Pseudomonas_F otitidis	1	0	0	0	0	1.0	0.0	0.0	0.0	0.0		
SID00366	diversity	Insect	United States	North Carolina	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Yokenella	Yokenella regensburgei	1	0	0	0	0	0.0	0.0	0.0	0.0	0.0		
SID00367	diversity	Root	United States	North Carolina	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas_E	Pseudomonas_E sp001945445	1	0	0	0	0	0.0	0.0	0.0	0.0	0.0		
SID00368	spectrum	Soil	United States	North Carolina	Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillus	Bacillus velezensis	1	0	0	0	0	1.0	0.0	0.0	0.0	0.0		
SID00369	spectrum	Root	United States	Ohio	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas_E	Pseudomonas_E poae_B	1	0	0	0	0	0.0	0.0	0.0	0.0	0.0		
SID00370	diversity	Root	United States	North Carolina	Actinobacteriota	Actinobacteria	Actinomycetales	Micrococcaceae	Pseudarthrobacter	gtdb_novel_strain	1	0	0	0	0	0.0	0.0	0.0	0.0	0.0		
SID00371	diversity	Amphibian	United States	North Carolina	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Enterobacter	Enterobacter kobei	1	0	0	0	0	1.0	0.0	0.0	0.0	0.0		
SID00372	machine_learning_validation	Soil	United States	Mississippi	Firmicutes	Bacilli	Bacillales	Bacillaceae_G	Bacillus_A	Bacillus_A thuringiensis_J	1	0	0	0	0	0.0	0.0	0.0	0.0	0.0	4.2	25.0
SID00373	spectrum	Plant	United States	North Carolina	Actinobacteriota	Actinobacteria	Actinomycetales	Cellulomonadaceae	Cellulomonas	gtdb_novel_strain	1	0	0	0	0	1.0	0.0	0.0	0.0	0.0		
SID00374	diversity	Soil	Uganda	Amuria	Firmicutes	Bacilli	Bacillales_A	Planococcaceae	Lysinibacillus	gtdb_novel_strain	1	0	0	0	0	0.0	0.0	0.0	0.0	0.0		
SID00375	diversity	Root	United States	Minnesota	Firmicutes	Bacilli	Bacillales	Bacillaceae_G	Bacillus_A	Bacillus_A toyonensis	1	0	0	0	0	0.0	0.0	0.0	0.0	0.0		
SID00376	diversity	Insect	United States	North Carolina	Firmicutes	Bacilli	Bacillales	Bacillaceae_H	Bacillus_C	Bacillus_C megaterium	1	0	0	0	0	0.0	0.0	0.0	0.0	0.0		
SID00377	spectrum	Root	United States	North Carolina	Firmicutes	Bacilli	Bacillales	Bacillaceae_G	Bacillus_A	Bacillus_A thuringiensis_J	1	0	0	0	0	1.0	0.0	0.0	0.0	0.0		
SID00378	machine_learning_validation	Insect	United States	North Carolina	Actinobacteriota	Actinobacteria	Streptomycetales	Streptomycetaceae	Streptomyces	Streptomyces olivochromogenes	1	0	0	0	0	0.0	0.0	0.0	0.0	0.0	7.1	45.0
SID00379	diversity	Root	United States	North Carolina	Actinobacteriota	Actinobacteria	Actinomycetales	Micrococcaceae	Paenarthrobacter	gtdb_novel_strain	1	0	0	0	0	0.0	0.0	0.0	0.0	0.0		
SID00380	spectrum	Root	United States	North Carolina	Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillus	Bacillus safensis	1	0	0	0	0	1.0	0.0	0.0	0.0	0.0		
SID00381	diversity	Core	United States	Indiana	Proteobacteria	Gammaproteobacteria	Burkholderiales	Burkholderiaceae	Variovorax	Variovorax paradoxus_A	1	0	0	0	0	1.0	0.0	0.0	0.0	0.0		
SID00382	diversity	Other	United States	Missouri	Firmicutes	Bacilli	Bacillales_A	Planococcaceae	Lysinibacillus	Lysinibacillus xylanilyticus_A	1	0	0	0	0	0.0	0.0	0.0	0.0	0.0		
SID00383	diversity	Root	United States	North Carolina	Actinobacteriota	Actinobacteria	Actinomycetales	Micrococcaceae	Pseudarthrobacter	gtdb_novel_strain	1	0	0	0	0	0.0	0.0	0.0	0.0	0.0		
SID00384	genome_similarity	Root	United States	North Carolina	Firmicutes	Bacilli	Bacillales	Bacillaceae_G	Bacillus_A	Bacillus_A thuringiensis_J	1	0	0	0	0	1.0	0.0	0.0	0.0	0.0		
SID00385	machine_learning_validation	Root	United States	Indiana	Firmicutes	Bacilli	Bacillales	Bacillaceae_G	Bacillus_A	Bacillus_A thuringiensis	1	0	0	0	0	0.0	0.0	0.0	0.0	0.0	51.6	75.7
SID00386	machine_learning_validation	Soil	United States	New York	Actinobacteriota	Actinobacteria	Actinomycetales	Micrococcaceae	Arthrobacter_I	gtdb_novel_strain	1	0	0	0	0	0.0	0.0	0.0	0.0	0.0	57.7	80.0
SID00387	diversity	Root	United States	North Carolina	Actinobacteriota	Actinobacteria	Actinomycetales	Microbacteriaceae	Microbacterium	Microbacterium trichothecenolyticum	1	0	0	0	0	0.0	0.0	0.0	0.0	0.0		
SID00388	diversity	Amphibian	United States	North Carolina	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas_F	Pseudomonas_F otitidis	1	0	0	0	0	1.0	1.0	0.0	0.0	0.0		
SID00389	genome_similarity	Root	United States	Iowa	Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillus	Bacillus safensis	1	0	0	0	0	0.0	0.0	0.0	0.0	0.0		
SID00390	diversity	Root	United States	Illinois	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas_E	Pseudomonas_E fluorescens_AR	1	0	0	0	0	0.0	0.0	0.0	0.0	0.0		
SID00391	spectrum	Soil	Uganda	Amuria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillus	Bacillus safensis	1	1	1	1	0	1.0	0.0	0.0	0.0	0.0		
SID00392	spectrum	Soil	United States	Oregon	Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillus	Bacillus subtilis	1	0	0	0	0	1.0	0.0	0.0	0.0	0.0		
SID00393	diversity	Amphibian	United States	North Carolina	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas	gtdb_novel_strain	1	0	0	0	0	0.0	0.0	0.0	0.0	0.0		
SID00394	genome_similarity	Root	United States	North Carolina	Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillus	Bacillus subtilis	1	0	0	0	0	0.0	0.0	0.0	0.0	0.0		
SID00395	spectrum	Soil	Uganda	Amuria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillus	Bacillus subtilis	1	1	0	0	0	1.0	0.0	0.0	0.0	0.0		
SID00396	genome_similarity	Insect	United States	North Carolina	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas_E	Pseudomonas_E sp900107395	1	0	0	0	0	0.0	0.0	0.0	0.0	0.0		
SID00397	spectrum	Soil	United States	New York	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Raoultella	gtdb_novel_strain	1	0	0	0	0	0.0	0.0	0.0	0.0	0.0		
SID00398	machine_learning_validation	Soil	United States	Kentucky	Firmicutes	Bacilli	Bacillales	Bacillaceae_G	Bacillus_A	Bacillus_A thuringiensis	1	1	0	0	0	0.0	0.0	0.0	0.0	0.0	100.0	-21.4
SID00399	spectrum	Core	United States	North Carolina	Proteobacteria	Gammaproteobacteria	Burkholderiales	Burkholderiaceae	Burkholderia	Burkholderia ambifaria	1	0	0	0	0	1.0	0.0	0.0	0.0	0.0		
SID00400	machine_learning_validation	Insect	United States	North Carolina	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas_E	Pseudomonas_E protegens	1	1	0	0	0	0.0	0.0	0.0	0.0	0.0	92.9	40.0
SID00401	spectrum	Soil	Uganda	Amuria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillus	Bacillus safensis	1	1	1	1	0	1.0	1.0	1.0	1.0	1.0		
SID00402	spectrum	Root	United States	Ohio	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas_E	Pseudomonas_E brassicacearum_C	1	0	0	0	0	0.0	0.0	0.0	0.0	0.0		
SID00403	diversity	Tuber	United States	North Carolina	Firmicutes_I	Bacilli_A	Brevibacillales	Brevibacillaceae	Brevibacillus	Brevibacillus reuszeri_A	1	0	0	0	0	0.0	0.0	0.0	0.0	0.0		
SID00404	diversity	Core	United States	Indiana	Proteobacteria	Gammaproteobacteria	Burkholderiales	Burkholderiaceae	Variovorax	Variovorax sp003019815	1	0	0	0	0	1.0	0.0	0.0	0.0	0.0		
SID00405	diversity	Insect	United States	North Carolina	Proteobacteria	Gammaproteobacteria	Burkholderiales	Burkholderiaceae	Burkholderia	Burkholderia cepacia	1	0	0	0	0	0.0	0.0	0.0	0.0	0.0		
SID00406	diversity	Root	United States	Ohio	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas_E	Pseudomonas_E sp002000165	1	0	0	0	0	0.0	0.0	0.0	0.0	0.0		
SID00407	diversity	Amphibian	United States	North Carolina	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas_E	Pseudomonas_E sp001259595	1	0	0	0	0	0.0	0.0	0.0	0.0	0.0		
SID00408	diversity	Amphibian	United States	North Carolina	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas_E	Pseudomonas_E sp001642705	1	0	0	0	0	0.0	0.0	0.0	0.0	0.0		
SID00409	spectrum	Core	United States	Illinois	Firmicutes	Bacilli	Bacillales	Bacillaceae_G	Bacillus_A	Bacillus_A thuringiensis	1	1	1	1	0	1.0	0.0	0.0	0.0	0.0		
SID00410	machine_learning_validation	Soil	United States	California	Firmicutes	Bacilli	Bacillales	Bacillaceae_H	Bacillus_I	Bacillus_I endophyticus	1	1	0	0	0	0.0	0.0	0.0	0.0	0.0	72.4	17.1
SID00411	diversity	Soil	Uganda	Amuria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillus	Bacillus safensis	1	0	0	0	0	1.0	0.0	0.0	0.0	0.0		
SID00412	diversity	Root	United States	Missouri	Actinobacteriota	Actinobacteria	Actinomycetales	Microbacteriaceae	Microbacterium	gtdb_novel_strain	1	0	0	0	0	1.0	0.0	0.0	0.0	0.0		
SID00413	diversity	Root	United States	North Carolina	Actinobacteriota	Actinobacteria	Actinomycetales	Micrococcaceae	Paenarthrobacter	Paenarthrobacter sp001542565	1	0	0	0	0	0.0	0.0	0.0	0.0	0.0		
SID00414	spectrum	Tuber	United States	North Carolina	Firmicutes	Bacilli	Bacillales	Bacillaceae_G	Bacillus_A	Bacillus_A thuringiensis_J	1	0	0	0	0	0.0	0.0	0.0	0.0	0.0		
